"","SampleID","Group","Species.name","Common.name","Data.source","Thr","Val","Leu","Phe","Lys","Thrn","Valn","Leun","Phen","Lysn","Tagging.Date","Total.Length..cm.","Total.Detections","Detection.Span..days.","Total.Detection.Days","Residency.index","LD.class","LD1","LD2","Source","Mean","SD"
"11","GT_10","GT","Caranx ignobilis","Giant Trevally","This study",-8.2,-20.1,-22.1,-23.3,-16.8,9.9,-2,-4,-5.2,1.3,"7/4/18",126,1376,388,61,0.16,"PelagicPlankton",7.45582189179489,0.321594024329713,"Inshore",0.172,"0.101"
"12","GT_10","GT","Caranx ignobilis","Giant Trevally","This study",-8.2,-20.1,-22.1,-23.3,-16.8,9.9,-2,-4,-5.2,1.3,"7/4/18",126,1376,388,61,0.16,"PelagicPlankton",7.45582189179489,0.321594024329713,"Offshore",0.828,"0.101"
"13","GT_11","GT","Caranx ignobilis","Giant Trevally","This study",-8.6,-19,-21.3,-23.2,-14.7,8.76,-1.64,-3.94,-5.84,2.66,"7/6/18",138,2075,355,69,0.18,"PelagicPlankton",6.54173173708133,-1.13753761089681,"Inshore",0.146,"0.095"
"14","GT_11","GT","Caranx ignobilis","Giant Trevally","This study",-8.6,-19,-21.3,-23.2,-14.7,8.76,-1.64,-3.94,-5.84,2.66,"7/6/18",138,2075,355,69,0.18,"PelagicPlankton",6.54173173708133,-1.13753761089681,"Offshore",0.854,"0.095"
"15","GT_12","GT","Caranx ignobilis","Giant Trevally","This study",-8.4,-19.2,-21.5,-20.3,-17.1,8.9,-1.9,-4.2,-3,0.2,"7/6/18",131,884,377,73,0.19,"ReefPlankton",2.53878935083552,1.55355256747109,"Inshore",0.345,"0.158"
"16","GT_12","GT","Caranx ignobilis","Giant Trevally","This study",-8.4,-19.2,-21.5,-20.3,-17.1,8.9,-1.9,-4.2,-3,0.2,"7/6/18",131,884,377,73,0.19,"ReefPlankton",2.53878935083552,1.55355256747109,"Offshore",0.655,"0.158"
"17","GT_13","GT","Caranx ignobilis","Giant Trevally","This study",-9,-19.9,-21.5,-20.4,-17.3,8.62,-2.28,-3.88,-2.78,0.32,"7/6/18",122,2238,318,223,0.57,"ReefPlankton",1.99924491178108,1.58148526542023,"Inshore",0.436,"0.155"
"18","GT_13","GT","Caranx ignobilis","Giant Trevally","This study",-9,-19.9,-21.5,-20.4,-17.3,8.62,-2.28,-3.88,-2.78,0.32,"7/6/18",122,2238,318,223,0.57,"ReefPlankton",1.99924491178108,1.58148526542023,"Offshore",0.564,"0.155"
"19","GT_14","GT","Caranx ignobilis","Giant Trevally","This study",-9.3,-18.5,-20.9,-20,-17.1,7.86,-1.34,-3.74,-2.84,0.06,"7/4/18",114,2179,383,250,0.64,"ReefPlankton",0.778452022155359,2.39398645122456,"Inshore",0.402,"0.166"
"20","GT_14","GT","Caranx ignobilis","Giant Trevally","This study",-9.3,-18.5,-20.9,-20,-17.1,7.86,-1.34,-3.74,-2.84,0.06,"7/4/18",114,2179,383,250,0.64,"ReefPlankton",0.778452022155359,2.39398645122456,"Offshore",0.598,"0.166"
"21","GT_2","GT","Caranx ignobilis","Giant Trevally","This study",-10,-17.1,-21.5,-22.1,-15.1,7.16,0.06,-4.34,-4.94,2.06,"7/6/18",144,205,197,19,0.05,"ReefPlankton",3.10902346751146,1.37264129971121,"Inshore",0.148,"0.099"
"22","GT_2","GT","Caranx ignobilis","Giant Trevally","This study",-10,-17.1,-21.5,-22.1,-15.1,7.16,0.06,-4.34,-4.94,2.06,"7/6/18",144,205,197,19,0.05,"ReefPlankton",3.10902346751146,1.37264129971121,"Offshore",0.852,"0.099"
"23","GT_3","GT","Caranx ignobilis","Giant Trevally","This study",-8.3,-18.2,-20,-20.2,-12.3,7.5,-2.4,-4.2,-4.4,3.5,"7/6/18",112,620,354,25,0.06,"ReefPlankton",2.08146572793401,-3.2422421946171,"Inshore",0.267,"0.140"
"24","GT_3","GT","Caranx ignobilis","Giant Trevally","This study",-8.3,-18.2,-20,-20.2,-12.3,7.5,-2.4,-4.2,-4.4,3.5,"7/6/18",112,620,354,25,0.06,"ReefPlankton",2.08146572793401,-3.2422421946171,"Offshore",0.733,"0.140"
"25","GT_4","GT","Caranx ignobilis","Giant Trevally","This study",-8.6,-18.9,-20.9,-23.3,-12.4,8.22,-2.08,-4.08,-6.48,4.42,"7/6/18",142,269,355,27,0.07,"PelagicPlankton",6.59599079829398,-3.63353859540018,"Inshore",0.103,"0.072"
"26","GT_4","GT","Caranx ignobilis","Giant Trevally","This study",-8.6,-18.9,-20.9,-23.3,-12.4,8.22,-2.08,-4.08,-6.48,4.42,"7/6/18",142,269,355,27,0.07,"PelagicPlankton",6.59599079829398,-3.63353859540018,"Offshore",0.897,"0.072"
"27","GT_5","GT","Caranx ignobilis","Giant Trevally","This study",-7.5,-18.7,-20.2,-21.3,-10.9,8.22,-2.98,-4.48,-5.58,4.82,"7/5/18",125,644,378,30,0.08,"PelagicPlankton",4.79452669189811,-5.55759916466817,"Inshore",0.128,"0.088"
"28","GT_5","GT","Caranx ignobilis","Giant Trevally","This study",-7.5,-18.7,-20.2,-21.3,-10.9,8.22,-2.98,-4.48,-5.58,4.82,"7/5/18",125,644,378,30,0.08,"PelagicPlankton",4.79452669189811,-5.55759916466817,"Offshore",0.872,"0.088"
"29","GT_6","GT","Caranx ignobilis","Giant Trevally","This study",-9.7,-19,-21.1,-22.9,-12.7,7.38,-1.92,-4.02,-5.82,4.38,"7/6/18",118,1201,354,31,0.08,"PelagicPlankton",4.71250109814804,-2.77856700694495,"Inshore",0.131,"0.087"
"30","GT_6","GT","Caranx ignobilis","Giant Trevally","This study",-9.7,-19,-21.1,-22.9,-12.7,7.38,-1.92,-4.02,-5.82,4.38,"7/6/18",118,1201,354,31,0.08,"PelagicPlankton",4.71250109814804,-2.77856700694495,"Offshore",0.869,"0.087"
"31","GT_7","GT","Caranx ignobilis","Giant Trevally","This study",-7.8,-17.8,-19.2,-21.1,-12.6,7.9,-2.1,-3.5,-5.4,3.1,"7/4/18",109,574,358,33,0.08,"PelagicPlankton",3.78055750320265,-3.09609477747828,"Inshore",0.22,"0.133"
"32","GT_7","GT","Caranx ignobilis","Giant Trevally","This study",-7.8,-17.8,-19.2,-21.1,-12.6,7.9,-2.1,-3.5,-5.4,3.1,"7/4/18",109,574,358,33,0.08,"PelagicPlankton",3.78055750320265,-3.09609477747828,"Offshore",0.78,"0.133"
"33","GT_8","GT","Caranx ignobilis","Giant Trevally","This study",-9.7,-19.8,-21.5,-22.8,-12.9,7.64,-2.46,-4.16,-5.46,4.44,"7/6/18",106,800,326,37,0.09,"PelagicPlankton",4.7278330747592,-3.02671118170786,"Inshore",0.154,"0.100"
"34","GT_8","GT","Caranx ignobilis","Giant Trevally","This study",-9.7,-19.8,-21.5,-22.8,-12.9,7.64,-2.46,-4.16,-5.46,4.44,"7/6/18",106,800,326,37,0.09,"PelagicPlankton",4.7278330747592,-3.02671118170786,"Offshore",0.846,"0.100"
