"","SampleID","Group","Species.name","Common.name","Data.source","Thr","Val","Leu","Phe","Lys","Thrn","Valn","Leun","Phen","Lysn","Tagging.Date","Total.Length..cm.","Total.Detections","Detection.Span..days.","Total.Detection.Days","Residency.index","LD.class","LD1","LD2","Source","Mean","SD"
"1","GS_1","GS","Carcharhinus galapagensis","Galapagos Shark","This study",-8.1,-19.2,-21.4,-19.8,-17.5,9.1,-2,-4.2,-2.6,-0.3,"9/11/14",265,21,1,2,0.01,"ReefPlankton",2.13576944009415,1.87865586167259,"Inshore",0.211,"0.088"
"2","GS_1","GS","Carcharhinus galapagensis","Galapagos Shark","This study",-8.1,-19.2,-21.4,-19.8,-17.5,9.1,-2,-4.2,-2.6,-0.3,"9/11/14",265,21,1,2,0.01,"ReefPlankton",2.13576944009415,1.87865586167259,"Offshore",0.789,"0.088"
"3","GS_2","GS","Carcharhinus galapagensis","Galapagos Shark","This study",-7.7,-17.5,-21.6,-21.2,-15.8,9.06,-0.74,-4.84,-4.44,0.96,"7/6/18",202,1097,336,50,0.13,"ReefPlankton",4.64710505570525,0.86656176723535,"Inshore",0.162,"0.116"
"4","GS_2","GS","Carcharhinus galapagensis","Galapagos Shark","This study",-7.7,-17.5,-21.6,-21.2,-15.8,9.06,-0.74,-4.84,-4.44,0.96,"7/6/18",202,1097,336,50,0.13,"ReefPlankton",4.64710505570525,0.86656176723535,"Offshore",0.838,"0.116"
"5","GS_3","GS","Carcharhinus galapagensis","Galapagos Shark","This study",-6.6,-16.1,-20.6,-21.3,-14.8,9.28,-0.22,-4.72,-5.42,1.08,"7/5/18",161,523,293,9,0.02,"PelagicPlankton",5.78380844346422,0.0322306504686534,"Inshore",0.111,"0.078"
"6","GS_3","GS","Carcharhinus galapagensis","Galapagos Shark","This study",-6.6,-16.1,-20.6,-21.3,-14.8,9.28,-0.22,-4.72,-5.42,1.08,"7/5/18",161,523,293,9,0.02,"PelagicPlankton",5.78380844346422,0.0322306504686534,"Offshore",0.889,"0.078"
"7","GS_4","GS","Carcharhinus galapagensis","Galapagos Shark","This study",-8.2,-17.4,-21,-19.5,-16.6,8.34,-0.86,-4.46,-2.96,-0.06,"7/4/18",122,818,389,75,0.19,"ReefPlankton",1.34002091945701,2.12202046586233,"Inshore",0.287,"0.165"
"8","GS_4","GS","Carcharhinus galapagensis","Galapagos Shark","This study",-8.2,-17.4,-21,-19.5,-16.6,8.34,-0.86,-4.46,-2.96,-0.06,"7/4/18",122,818,389,75,0.19,"ReefPlankton",1.34002091945701,2.12202046586233,"Offshore",0.713,"0.165"
"9","GT_1","GT","Caranx ignobilis","Giant Trevally","This study",-8.1,-17.4,-19,-20.3,-12.2,7.3,-2,-3.6,-4.9,3.2,"7/4/18",119,4,0,1,0,"ReefPlankton",2.14888271199572,-3.06905250916835,"Inshore",0.258,"0.143"
"10","GT_1","GT","Caranx ignobilis","Giant Trevally","This study",-8.1,-17.4,-19,-20.3,-12.2,7.3,-2,-3.6,-4.9,3.2,"7/4/18",119,4,0,1,0,"ReefPlankton",2.14888271199572,-3.06905250916835,"Offshore",0.742,"0.143"
