SampleID,Group,Species.name,Common.name,Data.source,Thr,Val,Leu,Phe,Lys,Thrn,Valn,Leun,Phen,Lysn,Tagging Date,Total Length (cm),Total Detections,Detection Span (days),Total Detection Days,Residency index
CI_1,GT,Caranx ignobilis,Giant Trevally,This study,-8.1,-17.4,-19,-20.3,-12.2,7.3,-2,-3.6,-4.9,3.2,7/4/18,119,4,0,1,0
CI_2,GT,Caranx ignobilis,Giant Trevally,This study,-10,-17.1,-21.5,-22.1,-15.1,7.16,0.06,-4.34,-4.94,2.06,7/6/18,144,205,197,19,0.05
CI_3,GT,Caranx ignobilis,Giant Trevally,This study,-8.3,-18.2,-20,-20.2,-12.3,7.5,-2.4,-4.2,-4.4,3.5,7/6/18,112,620,354,25,0.06
CI_4,GT,Caranx ignobilis,Giant Trevally,This study,-8.6,-18.9,-20.9,-23.3,-12.4,8.22,-2.08,-4.08,-6.48,4.42,7/6/18,142,269,355,27,0.07
CI_5,GT,Caranx ignobilis,Giant Trevally,This study,-7.5,-18.7,-20.2,-21.3,-10.9,8.22,-2.98,-4.48,-5.58,4.82,7/5/18,125,644,378,30,0.08
CI_6,GT,Caranx ignobilis,Giant Trevally,This study,-9.7,-19,-21.1,-22.9,-12.7,7.38,-1.92,-4.02,-5.82,4.38,7/6/18,118,1201,354,31,0.08
CI_7,GT,Caranx ignobilis,Giant Trevally,This study,-7.8,-17.8,-19.2,-21.1,-12.6,7.9,-2.1,-3.5,-5.4,3.1,7/4/18,109,574,358,33,0.08
CI_8,GT,Caranx ignobilis,Giant Trevally,This study,-9.7,-19.8,-21.5,-22.8,-12.9,7.64,-2.46,-4.16,-5.46,4.44,7/6/18,106,800,326,37,0.09
CI_9,GT,Caranx ignobilis,Giant Trevally,This study,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/4/18,136,1177,387,39,0.1
CI_10,GT,Caranx ignobilis,Giant Trevally,This study,-8.2,-20.1,-22.1,-23.3,-16.8,9.9,-2,-4,-5.2,1.3,7/4/18,126,1376,388,61,0.16
CI_11,GT,Caranx ignobilis,Giant Trevally,This study,-8.6,-19,-21.3,-23.2,-14.7,8.76,-1.64,-3.94,-5.84,2.66,7/6/18,138,2075,355,69,0.18
CI_12,GT,Caranx ignobilis,Giant Trevally,This study,-8.4,-19.2,-21.5,-20.3,-17.1,8.9,-1.9,-4.2,-3,0.2,7/6/18,131,884,377,73,0.19
CI_13,GT,Caranx ignobilis,Giant Trevally,This study,-9,-19.9,-21.5,-20.4,-17.3,8.62,-2.28,-3.88,-2.78,0.32,7/6/18,122,2238,318,223,0.57
CI_14,GT,Caranx ignobilis,Giant Trevally,This study,-9.3,-18.5,-20.9,-20,-17.1,7.86,-1.34,-3.74,-2.84,0.06,7/4/18,114,2179,383,250,0.64
GS_1,GS,Carcharhinus galapagensis,Galapagos Shark,This study,-8.1,-19.2,-21.4,-19.8,-17.5,9.1,-2,-4.2,-2.6,-0.3,9/11/14,265,21,1,2,0.01
GS_2,GS,Carcharhinus galapagensis,Galapagos Shark,This study,-7.7,-17.5,-21.6,-21.2,-15.8,9.06,-0.74,-4.84,-4.44,0.96,7/6/18,202,1097,336,50,0.13
GS_3,GS,Carcharhinus galapagensis,Galapagos Shark,This study,-6.6,-16.1,-20.6,-21.3,-14.8,9.28,-0.22,-4.72,-5.42,1.08,7/5/18,161,523,293,9,0.02
GS_4,GS,Carcharhinus galapagensis,Galapagos Shark,This study,-8.2,-17.4,-21,-19.5,-16.6,8.34,-0.86,-4.46,-2.96,-0.06,7/4/18,122,818,389,75,0.19
DiurnalReefPlankton_1,ReefPlankton,Caesio varilineata_Caesio xanthonota,Fusiliers,Skinner et al. 2021,-14.08,-25.58,-24.16,-21.18,-18.71,6.662,-4.838,-3.418,-0.438,2.032,NA,NA,NA,NA,NA,NA
DiurnalReefPlankton_2,ReefPlankton,Caesio varilineata_Caesio xanthonota,Fusiliers,Skinner et al. 2021,-13.74,-25.82,-25.76,-21.75,-18.96,7.466,-4.614,-4.554,-0.544,2.246,NA,NA,NA,NA,NA,NA
